title,authors,year,source,link,snippet,cited_by,pdf_link,gs_position,query
Cognitive Effects of Daily Screen Time Habits among Early Adolescents,"UB Siddique, R Adil, W Kaynaat",2025,healerjournal.com,https://www.healerjournal.com/index.php/bmhs/article/view/14,… What we know about screen time and social media in early adolescence: a review of findings from the adolescent brain cognitive development study. Current Opinion in Pediatrics 2025…,,https://www.healerjournal.com/index.php/bmhs/article/download/14/15,10,"""Adolescent Brain Cognitive Development"" ""screen time"""
Responsible research in health disparities using the Adolescent Brain Cognitive,"MR Gonzalez, C Cardenas-Iniguez, DE Linares",2025,2025,,,,,9,"""Adolescent Brain Cognitive Development"" ""social media"""
The Association Between Smartphone Overuse and Cognitive Impairment Among Adults in the United Arab Emirates: A Cross-Sectional Study,"N Mustafa, AA Alrais, M Alshammari, A Horeie, N Al Ali…",2024,cureus.com,https://www.cureus.com/articles/440615-the-association-between-smartphone-overuse-and-cognitive-impairment-among-adults-in-the-united-arab-emirates-a-cross-sectional-study.pdf,… A 2024 study utilizing data from the Adolescent Brain Cognitive Development (ABCD) Study found that excessive screen time was associated with structural variations in brain regions …,1,https://www.cureus.com/articles/440615-the-association-between-smartphone-overuse-and-cognitive-impairment-among-adults-in-the-united-arab-emirates-a-cross-sectional-study.pdf,12,"""Adolescent Brain Cognitive Development"" ""phone use"""
Intra-Arterial Tenecteplase After Successful Endovascular Therapy for Acute Stroke—Reply,"Y Pan, Z Miao, X Huo",2023,jamanetwork.com,https://jamanetwork.com/journals/jama/article-abstract/2840485,… The course of problematic social media use in young adolescents: a latent class growth … brain organization in late childhood: evidence from the ABCD study. Cortex. 2023;169:290-308. …,,,1,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Lower daily steps among US adolescents during the COVID-19 pandemic: Objective findings from the Adolescent Brain Cognitive Development Study,"JM Nagata, J Yu, EE Dooley, FC Baker…",2022,Elsevier,https://www.sciencedirect.com/science/article/pii/S2211335522004028,"2. Methods Cross-sectional data from Year 2 (2018–2020) of the Adolescent Brain Cognitive Development (ABCD) Study were analyzed in 2022. The sample consisted of 4,955 …",7,,20,"""Adolescent Brain Cognitive Development"" ""social media"""
BIBLIOGRAFIA ADHD MARZO 2022,"MH Sibley, L Eugene Arnold, JM Swanson",2022,"Ital J Pediatr, 2022",,,,,3,"""Adolescent Brain Cognitive Development"" ""internet use"""
Cell Phone Usage in Secondary Schools: A Pervasive Post-Pandemic Problem,D Arganbright,2022,scholarworks.umt.edu,https://scholarworks.umt.edu/umcur/2022/amposters/3/,… What is the impact of the intervention on the number of instances of phone use in the … the Adolescent Brain Cognitive Development (ABCD) Study. JAMA Pediatr. 2022;176(1):94–96. …,,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=2522&context=umcur,18,"""Adolescent Brain Cognitive Development"" ""phone use"""
Gender identity disparities in early adolescent sleep: findings from the Adolescent Brain Cognitive Development Study,"C Ricklefs, P Balasubramanian, KT Ganson…",2021,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1089/lgbt.2023.0431,"… We conducted a cross-sectional analysis of the Adolescent Brain Cognitive Development Study from Year 3 (2019–2021, n = 10,277, 12–13 years) to investigate … Share on social media …",7,,5,"""Adolescent Brain Cognitive Development"" ""social media"""
… Novel Technologies Workgroup. Passive sensing of preteens' smartphone use: an Adolescent Brain Cognitive Development (ABCD) cohort substudy,"NE Wade, JM Ortigara, RM Sullivan, RL Tomko…",2021,"JMIR Ment Health, 2021",,,18,,14,"""Adolescent Brain Cognitive Development"" smartphone"
"Prior externalizing, but not internalizing, symptoms predict subsequent family conflict in emerging adolescence: A longitudinal study","L Aaron, SR Black",2021,cambridge.org,https://www.cambridge.org/core/journals/development-and-psychopathology/article/prior-externalizing-but-not-internalizing-symptoms-predict-subsequent-family-conflict-in-emerging-adolescence-a-longitudinal-study/8616874C87127148446E00DEB8E5DF9C,"… All data presented herein were processed and cleaned by ABCD study staff and were accessed on December 16, 2021 from the ABCD Annual Curated Release 5.0 [http://dx.doi.org/…",4,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8616874C87127148446E00DEB8E5DF9C/S0954579425100278a.pdf/prior-externalizing-but-not-internalizing-symptoms-predict-subsequent-family-conflict-in-emerging-adolescence-a-longitudinal-study.pdf,2,"""ABCD Study"" ""internet use"" adolescent"
COVID Information and masking behaviors in US adolescents: findings from the adolescent brain cognitive development (ABCD) study,"JM Nagata, KT Ganson, J Liu, KP Patel, JC Tai…",2020,Elsevier,https://www.sciencedirect.com/science/article/pii/S2211335522002078,"… Responses from the December 2020 COVID-19 survey, representing 4,106 US adolescents ages 12–14 from the Adolescent Brain Cognitive Development Study (ABCD) were analyzed…",12,,17,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Social media use, smoking expectancies, and nicotine experimentation in early adolescents: A prospective cohort study","JM Nagata, A Caffrey, A Heuer…",2020,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/ajad.70135,"… between social media use … the Adolescent Brain Cognitive Development Study (N = 8292; mean age 12.0 years at Year 2; 2018–2020), we estimated associations between social media …",,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ajad.70135,13,"""Adolescent Brain Cognitive Development"" ""social media"""
Social epidemiology of online dating in US early adolescents,"JM Nagata, P Balasubramanian, JE Shim…",2020,Springer,https://link.springer.com/article/10.1186/s13104-024-06777-w,"… We analyzed cross-sectional data from the Adolescent Brain Cognitive Development Study (Year 2, 2018–2020, ages 11–12; N = 10,157). Multivariable logistic regression analyses …",10,https://link.springer.com/content/pdf/10.1186/s13104-024-06777-w.pdf,11,"""Adolescent Brain Cognitive Development"" texting"
"Problematic use of mobile phone and social media among adolescents: relationship with cyberbullying, cybervictimisation, and social anxiety","L Guisot, D Aparisi, B Delgado…",2020,researchsquare.com,https://www.researchsquare.com/article/rs-7592472/latest,"… and problematic social media use (Gao et al., 2020). Furthermore, social anxiety has been identi ed as a determining factor in the relationship between problematic social media use …",,https://www.researchsquare.com/article/rs-7592472/latest.pdf,10,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
Prospective associations between media parenting practices and adolescent video game use,"JM Nagata, D Sportsman, JH Wong, S Nayak…",2019,Springer,https://link.springer.com/article/10.1007/s12519-025-01009-y,"… , age: 12.9 ± 0.6 years) from the Adolescent Brain Cognitive Development Study (year 3: 2019–… Digital media use has been associated with elevated likelihoods of insomnia, depression …",1,https://link.springer.com/content/pdf/10.1007/s12519-025-01009-y.pdf,5,"""Adolescent Brain Cognitive Development"" ""digital media"""
Impact of screen exposure during pediatric ages including multifaceted aggravating factors: A literature review,"D González-Pérez, DS Huertas-Moreno…",2019,pmc.ncbi.nlm.nih.gov,https://pmc.ncbi.nlm.nih.gov/articles/PMC12488278/,"… and 2019 as part of the Adolescent Brain Cognitive Development Study in the United States, … The study found that prolonged mobile phone use (OR, 1.848; 95% CI, 1.336–2.555; P=2.07…",1,,14,"""Adolescent Brain Cognitive Development"" ""phone use"""
"Digital Media, Cognition, and Brain Development in Infancy","TGC Munzer, M Paulus",2019,books.google.com,https://books.google.com/books?hl=en&lr=&id=jC82EQAAQBAJ&oi=fnd&pg=PA13&dq=%22ABCD+Study%22+%22digital+media%22+adolescent&ots=S_VjUC9DxS&sig=T4gIoFGztCqO1rBv9ZSFMQs_7YU,… can learn from child-directed digital media that are designed to teach [… Associations between digital media use and brain surface … from the ABCD study. NeuroImage. 2019; 185: 140–53. …,,,15,"""ABCD Study"" ""digital media"" adolescent"
Minors' health and social media: an interdisciplinary scientific perspective,"S Manolios, A Sala, E Sundorph, S Chaudron…",2019,publications.jrc.ec.europa.eu,https://publications.jrc.ec.europa.eu/repository/handle/JRC141090,"… A heavy use of social media can potentially lead to problematic social media use. Though the ICD-11 (World Health Organization, 2019) does not officially recognise this specific …",,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC141090/JRC141090_01.pdf,12,"""ABCD Study"" ""problematic phone"" OR ""problematic social medi"
"Longitudinal changes in screen time, sleep, and sports/exercise activity in early adolescence","JM Nagata, CK Helmer, Z Memon, S Ramappa…",2018,Springer,https://link.springer.com/article/10.1186/s12887-025-06368-z,"… We examined data over four annual assessments collected from the Adolescent Brain Cognitive Development (ABCD) Study (N = 9,519) from baseline (2016–2018, ages 9–10) to Year …",,https://link.springer.com/content/pdf/10.1186/s12887-025-06368-z_reference.pdf,5,"""Adolescent Brain Cognitive Development"" ""screen time"""
Within-and between-study site variations in ambient air pollution exposure at ages 9-10 years in the Adolescent Brain Cognitive Development (ABCD) Study,"C Cardenas-Iniguez, AV de Jesus, JN Schachner…",2018,files.osf.io,https://files.osf.io/v1/resources/4c3wf_v1/providers/osfstorage/685b5627a30bcb19555cfb62?action=download&direct&version=1,"… distinct patterns and predictors across regions of the United States, which we investigate by leveraging baseline data (2016-2018) from the Adolescent Brain Cognitive Development (…",,https://files.osf.io/v1/resources/4c3wf_v1/providers/osfstorage/685b5627a30bcb19555cfb62?action=download&direct&version=1,17,"""Adolescent Brain Cognitive Development"" smartphone"
Sociodemographic correlates of contemporary screen time use among 9-and 10-year-old children,"JM Nagata, KT Ganson, P Iyer, J Chu, FC Baker…",2018,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022347621008623,"… (2016-2018) data from the Adolescent Brain Cognitive Development study (n = 10 755). … Girls reported more time texting, social networking, and video chatting than boys. Higher …",142,,12,"""Adolescent Brain Cognitive Development"" texting"
"Demographic, psychological, behavioral, and cognitive correlates of BMI in youth: Findings from the Adolescent Brain Cognitive Development (ABCD) study","JC Gray, NA Schvey, M Tanofsky-Kraff",2016,cambridge.org,https://www.cambridge.org/core/journals/psychological-medicine/article/demographic-psychological-behavioral-and-cognitive-correlates-of-bmi-in-youth-findings-from-the-adolescent-brain-cognitive-development-abcd-study/29727D656DC9258F7164F538E626A7B4,"… With regard to screen time, given it is increasing in … Wu et al., 2016) or alter screen time to emphasize video games that … ables that are implicated in BMI (eg screen time, social problems) …",74,https://drive.google.com/file/d/1YxEZh_QxYS-aodemh29V6Kzee0CPW1Aa/view,12,"""Adolescent Brain Cognitive Development"" ""screen time"""
Social determinants of health and suicidal behaviors among children: US longitudinal adolescent brain cognitive development (ABCD) study,"Y Xiao, JJ Mann, Y Hou, JCC Chow, TT Brown…",2016,medrxiv.org,https://www.medrxiv.org/content/10.1101/2022.05.26.22275629.abstract,"… Panel study of 11 810 children aged 9 to 10 years who were enrolled in the Adolescent Brain Cognitive Development (ABCD) study and followed from September 1, 2016, and April 24, …",2,https://www.medrxiv.org/content/10.1101/2022.05.26.22275629.full.pdf,13,"""Adolescent Brain Cognitive Development"" smartphone"
Youth electronic media use and family conflict: Bidirectional associations across early adolescence.,"C Carvalho, N Ravindran, KJ Koss",2016,psycnet.apa.org,https://psycnet.apa.org/record/2026-46480-001,"… The present study utilized data from the Adolescent Brain Cognitive Development (ABCD) … Trends in US adolescents’ media use, 1976–2016: The rise of digital media, the decline of TV, …",1,https://psycnet.apa.org/manuscript/2026-46480-001.pdf,11,"""Adolescent Brain Cognitive Development"" ""digital media"""
Screen time and problem behaviors in children: exploring the mediating role of sleep duration,"MD Guerrero, JD Barnes, JP Chaput…",2016,Springer,https://link.springer.com/article/10.1186/s12966-019-0862-x,"… ) data (2016–18) from the Adolescent Brain Cognitive Development (ABCD) study, a US … Texting, using social networking sites, and using video chat were collapsed due to low use …",340,https://link.springer.com/content/pdf/10.1186/s12966-019-0862-x.pdf,12,"""Adolescent Brain Cognitive Development"" texting"
Screen time and mental health: a prospective analysis of the Adolescent Brain Cognitive Development (ABCD) Study,"JM Nagata, AAA Al-Shoaibi, AW Leong, G Zamora…",,Springer,https://link.springer.com/article/10.1186/s12889-024-20102-x?os=io....&ref=app,… -up from the Adolescent Brain Cognitive Development (ABCD) Study. We used mixed-effects models to analyze associations between baseline self-reported screen time and parent-…,95,,1,"""Adolescent Brain Cognitive Development"" ""screen time"""
Screen time use among US adolescents during the COVID-19 pandemic: findings from the adolescent brain cognitive development (ABCD) study,"JM Nagata, CA Cortez, CJ Cattle, KT Ganson…",,jamanetwork.com,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2785686,"… We don't have similar data from our Indian sub-continent, but I would share some observations on screen time usage by children/adolescents of age 10-15 years in this …",365,https://jamanetwork.com/journals/jamapediatrics/articlepdf/2785686/jamapediatrics_nagata_2021_ld_210025_1640824417.6829.pdf,2,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Screen time and early adolescent mental health, academic, and social outcomes in 9-and 10-year old children: Utilizing the Adolescent Brain Cognitive Development …","KN Paulich, JM Ross, JM Lessem, JK Hewitt",,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0256591,… Adolescent Brain Cognitive Development Study (ABCD Study®). We investigate relationships between screen time … We find that more screen time is moderately associated with worse …,266,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0256591&type=printable,3,"""Adolescent Brain Cognitive Development"" ""screen time"""
Screen time and manic symptoms in early adolescents: prospective findings from the Adolescent Brain Cognitive Development Study,"JM Nagata, G Zamora, AAA Al-Shoaibi…",,Springer,https://link.springer.com/article/10.1007/s00127-025-02814-6,"… This study utilized data from the Adolescent Brain Cognitive Development (ABCD) Study, a national longitudinal study of adolescent cognitive and physical health [27]. The ABCD Study …",8,https://link.springer.com/content/pdf/10.1007/s00127-025-02814-6.pdf,4,"""Adolescent Brain Cognitive Development"" ""screen time"""
Association of physical activity and screen time with cardiovascular disease risk in the Adolescent Brain Cognitive Development Study,"JM Nagata, S Weinstein, S Alsamman, CM Lee…",,Springer,https://link.springer.com/article/10.1186/s12889-024-18790-6,… Table 2 Associations between screen time and step count categories and cardiovascular disease risk (CVD) outcomes in Adolescent Brain Cognitive Development (ABCD) Study …,21,https://link.springer.com/content/pdf/10.1186/s12889-024-18790-6.pdf,5,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Screen time, problematic screen use, and eating disorder symptoms among early adolescents: findings from the Adolescent Brain Cognitive Development (ABCD) …","J Chu, KT Ganson, A Testa, AAA Al-Shoaibi…",,Springer,https://link.springer.com/article/10.1007/s40519-024-01685-1,… We reported the weighted average as a continuous variable after obtaining this screen time total for each modality utilized by participants. Total screen time was determined by summing …,34,https://link.springer.com/content/pdf/10.1007/s40519-024-01685-1.pdf,6,"""Adolescent Brain Cognitive Development"" ""screen time"""
"… of maladaptive behaviors in adolescents: Nutrition, screen time, prenatal exposure, childhood adversities-adolescent brain cognitive development study","K Agarwal, P Manza, HA Tejeda, AB Courville…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1054139X23004433,"… To achieve this, we utilized the extensive adolescent brain cognitive development data set, which encompasses a wide range of environmental, social, and nutritional factors. …",17,,7,"""Adolescent Brain Cognitive Development"" ""screen time"""
Screen Time and Puberty Timing: Findings from the Adolescent Brain Cognitive Development Study,"L Bläschke, FE Weisner, A Hinney, T Peters, B Schmidt…",,medrxiv.org,https://www.medrxiv.org/content/10.64898/2026.01.26.26344850.abstract,"… the Adolescent Brain Cognitive Development (ABCD) study. First, associations were examined between average daily screen time (hours/day, parent-reported Screen Time … screen time …",,https://www.medrxiv.org/content/medrxiv/early/2026/01/28/2026.01.26.26344850.full.pdf,8,"""Adolescent Brain Cognitive Development"" ""screen time"""
Bedtime screen use behaviors and sleep outcomes: Findings from the Adolescent Brain Cognitive Development (ABCD) Study,"JM Nagata, G Singh, JH Yang, N Smith, O Kiss…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S2352721823000347,Objectives To determine associations between bedtime screen time behaviors and sleep outcomes in a national study of early adolescents. Methods We analyzed cross-sectional data …,72,https://www.sciencedirect.com/science/article/am/pii/S2352721823000347,9,"""Adolescent Brain Cognitive Development"" ""screen time"""
Associations between sexual orientation and early adolescent screen use: findings from the Adolescent Brain Cognitive Development (ABCD) Study,"JM Nagata, CM Lee, J Yang, AAA Al-Shoaibi…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1047279723000534,"… sexual orientation and screen time in adolescence makes it … sexual orientation, recreational screen time, and problematic … associated with higher screen time and problematic screen …",33,,10,"""Adolescent Brain Cognitive Development"" ""screen time"""
Neighborhood Quality and Screen Use: Findings from the Adolescent Brain Cognitive Development Study,"JM Nagata, CK Helmer, Z Memon, J Talebloo…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1876285925003894,"… Overall, this study found that neighborhood quality is associated with higher screen time, over and above other factors, suggesting it is important to consider the role of environmental …",1,,11,"""Adolescent Brain Cognitive Development"" ""screen time"""
… and moderate-to-vigorous intensity physical activity among adolescents during the COVID-19 pandemic: findings from the adolescent brain cognitive development …,"JM Nagata, CA Cortez, EE Dooley, P Iyer…",,jahonline.org,https://www.jahonline.org/article/S1054-139X(22)00036-2/abstract,"… on six forms of screen time were summed to calculate a total daily screen time measure, excluding … mental health or resiliency measures and screen time or MVPA during the pandemic. …",9,https://www.jahonline.org/article/S1054-139X(22)00036-2/pdf,12,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Associations of Sleep, Screen Time, and Extracurricular Activities With Cognitive Development: A Longitudinal Study","J Zheng, E Berg, ML Byrne…",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jad.70069,"… Adolescent Brain Cognitive Development (ABCD) Study, the same sample as that leveraged in the present study, found that sleep, extracurricular activities, and screen time … screen time …",1,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jad.70069,13,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Digital media, cognition, and brain development in adolescence","L Marciano, B Dubicka, L Magis-Weinberg…",,Springer,https://link.springer.com/chapter/10.1007/978-3-031-69362-5_4,"… screen time and problematic digital media use. Mostly cross-sectional, the results showed that frequent and longer screen time (… in the Adolescent Brain Cognitive Development (ABCD) …",17,https://link.springer.com/content/pdf/10.1007/978-3-031-69362-5_4.pdf,14,"""Adolescent Brain Cognitive Development"" ""screen time"""
Screen Time and Its Impacts on Youth Health and Brain Development,"ACA De Souza, AEM Valadares…",,researchgate.net,https://www.researchgate.net/profile/Joao-Neto-149/publication/395622569_Screen_Time_and_Its_Impacts_on_Youth_Health_and_Brain_Development/links/6928c8887185551710644de1/Screen-Time-and-Its-Impacts-on-Youth-Health-and-Brain-Development.pdf,"… Studies highlight a correlation between high screen time and increased symptoms of depression, anxiety, stress, sleep disorders, and body dissatisfaction. Factors such as age, gender, …",,https://www.researchgate.net/profile/Joao-Neto-149/publication/395622569_Screen_Time_and_Its_Impacts_on_Youth_Health_and_Brain_Development/links/6928c8887185551710644de1/Screen-Time-and-Its-Impacts-on-Youth-Health-and-Brain-Development.pdf,15,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Digital Media, Cognition, and Brain Development","K Viswanath, R Weber",,books.google.com,https://books.google.com/books?hl=en&lr=&id=jC82EQAAQBAJ&oi=fnd&pg=PA21&dq=%22Adolescent+Brain+Cognitive+Development%22+%22screen+time%22&ots=S_VjUC9BwR&sig=LPrbkSyfA7wySRsar0D_VgcwIXo,"… Mostly crosssectional, the results showed that frequent and longer screen time (measured as hours per day) and problematic media usage behaviors (including Internet, social media, …",1,,16,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Screen time, sleep, brain structural neurobiology, and sequential associations with child and adolescent psychopathology: Insights from the ABCD study","Y Zhao, MP Paulus, SF Tapert, KS Bagot…",,akjournals.com,https://akjournals.com/view/journals/2006/13/2/article-p542.xml,… Image processing and analysis methods for the adolescent brain cognitive development … Screen time and sleep among schoolaged children and adolescents: A systematic literature …,24,https://akjournals.com/downloadpdf/view/journals/2006/13/2/article-p542.pdf,17,"""Adolescent Brain Cognitive Development"" ""screen time"""
What we know about screen time and social media in early adolescence: a review of findings from the Adolescent Brain Cognitive Development Study,"JM Nagata, CM Lee, JO Hur…",,journals.lww.com,https://journals.lww.com/co-pediatrics/fulltext/2025/08000/what_we_know_about_screen_time_and_social_media_in.9.aspx,… This review synthesizes trends and health outcomes related to screen time and social media use in early adolescence and provides an overview of the findings from studies that …,25,,18,"""Adolescent Brain Cognitive Development"" ""screen time"""
Screen use in transgender and gender-questioning adolescents: findings from the Adolescent Brain Cognitive Development (ABCD) Study,"JM Nagata, P Balasubramanian, P Iyra, KT Ganson…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1047279724000632,"… data from Year 3 of the Adolescent Brain Cognitive Development SM Study (ABCD Study®, … transgender or questioning gender identity and screen time, as well as problematic use of …",7,https://www.sciencedirect.com/science/article/am/pii/S1047279724000632,19,"""Adolescent Brain Cognitive Development"" ""screen time"""
Effects of Screen Media Exposure on ADHD Vulnerability: Longitudinal Analysis Using the Adolescent Brain Cognitive Development (ABCD) Study,SM Samimy,,rave.ohiolink.edu,https://rave.ohiolink.edu/etdc/view?acc_num=osu1655630840877136,"… symptoms and total weekly screen time, with aggressive … symptoms and total weekly screen time, with aggressive behavior … ADHD symptoms and total weekly screen time, with sluggish …",2,https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=osu1655630840877136&disposition=inline,20,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Adolescent brain cognitive development study: Longitudinal methods, developmental findings, and associations with environmental risk factors","M Luciana, D Barch, MM Herting",,pmc.ncbi.nlm.nih.gov,https://pmc.ncbi.nlm.nih.gov/articles/PMC10757308/,"… Screen time increased significantly over time with variations by sex-assigned-at-birth for measures such as online social activities, which were more frequent for girls, versus gaming …",10,https://pmc.ncbi.nlm.nih.gov/articles/PMC10757308/pdf/main.pdf,1,"""Adolescent Brain Cognitive Development"" ""screen time"""
"… associations between sleep, sensation-seeking, and mature screen usage in early adolescents: findings from the Adolescent Brain Cognitive Development study","L Zhang, A Oshri, C Carvalho, LQ Uddin, C Geier…",,academic.oup.com,https://academic.oup.com/sleep/article-abstract/48/1/zsae234/7818170,"… This period is also when there is a marked increase in screen time and mature content usage [3]. Considering the ongoing personality development during adolescence, it is crucial to …",6,,2,"""Adolescent Brain Cognitive Development"" ""screen time"""
… movement recommendations and health indicators in early adolescence: cross-sectional and longitudinal associations in the adolescent brain cognitive development …,"H Fung, BTT Yeo, C Chen, JC Lo, MWL Chee…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1054139X22007182,"… Although the associations between physical activity and health indicators were less consistent in this study, the significant findings from sleep and screen time demonstrate the …",51,https://www.sciencedirect.com/science/article/am/pii/S1054139X22007182,3,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Causal relationships between screen use, reading, and brain development in early adolescents","M Li, R Zhao, X Dang, X Xu, R Chen, Y Chen…",,Wiley Online Library,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202307540,"… Here, the Adolescent Brain Cognitive Development (ABCD) dataset is utlized to examine … Therefore, we used GWAS data on leisure screen time from UK biobank data (n up to 526 725 [ …",31,https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202307540,4,"""Adolescent Brain Cognitive Development"" ""screen time"""
Longitudinal use patterns of technology subtypes during the transition into early adolescence: results from the Adolescent Brain Cognitive Development Study,"JT Borodovsky, LM Squeglia, L Mewton…",,Elsevier,https://www.sciencedirect.com/science/article/pii/S1054139X24003045,"… N = 11,868 participants in the Adolescent Brain Cognitive Development study followed from ages ∼9/10 to ∼13/14. We examined youths' self-reported hours per day (hr/day) of …",8,https://www.sciencedirect.com/science/article/am/pii/S1054139X24003045,5,"""Adolescent Brain Cognitive Development"" ""screen time"""
Passive sensing of preteens' smartphone use: An Adolescent Brain Cognitive Development (ABCD) cohort substudy,"NE Wade, JM Ortigara, RM Sullivan, RL Tomko…",,mental.jmir.org,https://mental.jmir.org/2021/10/e29426,"… As such, new methods of measurement are needed to directly examine the quantity and quality of smartphone screen use to capture screen time–related behaviors (as in, the ways in …",73,,6,"""Adolescent Brain Cognitive Development"" ""screen time"""
… MEDIA ACTIVITY AND IMPACT ON MENTAL HEALTH AND SUICIDALITY: RESULTS FROM THE ADOLESCENT BRAIN COGNITIVE DEVELOPMENT …,K Bagot,,jaacap.org,https://www.jaacap.org/article/S0890-8567(19)31289-4/abstract,"… elucidate the associations between screen time, sleep, and … the association between greater screen time and depressive … mediate the association between screen time and depressive …",1,,7,"""Adolescent Brain Cognitive Development"" ""screen time"""
Longitudinal Patterns of Digital Parenting Restrictions and Adolescent Screen Use: Insights from the Adolescent Brain Cognitive Development (ABCD) Study,"D Lopez, A Lopez-Flores, G Ruiz-Orozco, B Nagel",,medrxiv.org,https://www.medrxiv.org/content/10.1101/2025.11.23.25340847.abstract,"… linked to lower screen time among … screen time, which are prone to recall and social desirability biases. For example, recent findings from the Adolescent Brain Cognitive Development (…",,https://www.medrxiv.org/content/medrxiv/early/2025/11/25/2025.11.23.25340847.full.pdf,8,"""Adolescent Brain Cognitive Development"" ""screen time"""
The association between screen time and cognitive function in children: The partially mediating role of putamen volume,"Q Shou, M Yamashita, Y Mizuno",,Elsevier,https://www.sciencedirect.com/science/article/pii/S0001691826005433,"Objective This study investigates the association between screen time and cognitive function and examines whether putamen volume, which decreases with increased screen time, …",,,9,"""Adolescent Brain Cognitive Development"" ""screen time"""
Beyond screen time: The core influences of problematic screen use on adolescent development networks,"L Xu, K Song, H Deng, X Geng, J Zhang…",,akjournals.com,https://akjournals.com/view/journals/2006/14/2/article-p724.xml,"… from the Adolescent Brain Cognitive Development (ABCD) … higher centrality than screen time and checking behavior, … being than self-reported screen time, highlighting the need for …",6,https://akjournals.com/downloadpdf/view/journals/2006/14/2/article-p724.pdf,10,"""Adolescent Brain Cognitive Development"" ""screen time"""
Adolescents' Time Use and Cognitive Development,"X Liu, J Wang, X Cao",,researchgate.net,https://www.researchgate.net/profile/Xinqiao-Liu/publication/388353312_Adolescents'_Time_Use_and_Cognitive_Development/links/68ae9db77984e374aceb9122/Adolescents-Time-Use-and-Cognitive-Development.pdf,"… Globally, the increase in screen time for entertainment among … The frequency and amount of screen time used for … : Utilizing the Adolescent Brain Cognitive Development SM …",,https://www.researchgate.net/profile/Xinqiao-Liu/publication/388353312_Adolescents'_Time_Use_and_Cognitive_Development/links/68ae9db77984e374aceb9122/Adolescents-Time-Use-and-Cognitive-Development.pdf,11,"""Adolescent Brain Cognitive Development"" ""screen time"""
Beyond the Screen: Impact of Screen Time on Children's Cognitive Development,LSB McIver,,search.proquest.com,https://search.proquest.com/openview/f617f1543c0932e10f64648d5d12f4e1/1?pq-origsite=gscholar&cbl=18750&diss=y,… analysis of how screen time impacts children aged 5 to 17. … to present a nuanced understanding of screen time’s effects on … Findings indicate that not all screen time is inherently harmful…,3,,13,"""Adolescent Brain Cognitive Development"" ""screen time"""
"Association between cognitive measures, global brain surface area, genetics, and screen-time in young adolescents: Estimation of causal inference with machine …",E Kravchenko,,diva-portal.org,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1527788,"… The effect of screen time has been a highly debated topic; however, there is still very little known about it. Using a dataset from the Adolescent Brain Cognitive Development longitudinal …",,https://www.diva-portal.org/smash/get/diva2:1527788/FULLTEXT01.pdf,14,"""Adolescent Brain Cognitive Development"" ""screen time"""
Early Adolescents' Wellbeing in the Digital Age: A Social Ecological Approach Based on the Adolescent Brain Cognitive Development (ABCD) Study,JM Hernandez,,search.proquest.com,https://search.proquest.com/openview/e08909b921d8064205191b43da549306/1?pq-origsite=gscholar&cbl=18750&diss=y,"… with internalizing behaviors and compare these associations to screen time to further characterize how adolescent screen time is associated with socioemotional development , and (3) …",,https://escholarship.org/content/qt2cs1s52b/qt2cs1s52b.pdf,15,"""Adolescent Brain Cognitive Development"" ""screen time"""
